Sample;"X(ms) [24,05,2024 10:41:39 735 UTC]";"IO,Entradas,Sensor[%DB1000,DBX58,5]";"Dados,PesoAtual[%DB1003,DBD2]";"Dados,PesoFiltrado[%DB1003,DBD6]";"Dados,IndicativoPesoNovo[%DB1003,DBX0,0]";"Dados,UltimoPeso[%DB1003,DBD10]";"Tendencia,Peso";"Tendencia,ColetaDados";;
540;"1,72E+12";0;"11,25";0;1;280;278;0;;
541;"1,72E+12";0;"9,25";0;1;280;278;0;;
542;"1,72E+12";0;"1,25";"0,150000006";1;280;278;0;;
543;"1,72E+12";0;"-3,75";"-0,150000006";1;280;278;0;;
544;"1,72E+12";0;"-6,75";"-0,150000006";1;280;278;0;;
545;"1,72E+12";0;"-7,75";"-0,699999988";1;280;278;0;;
546;"1,72E+12";0;"-7,75";"-1,049999952";1;280;278;0;;
547;"1,72E+12";0;"-0,75";"-1,049999952";1;280;278;0;;
548;"1,72E+12";0;"6,25";-1;1;280;278;0;;
549;"1,72E+12";0;"13,25";"-0,649999976";1;280;278;0;;
550;"1,72E+12";0;"14,25";"-0,649999976";1;280;278;0;;
551;"1,72E+12";0;"8,25";"-0,050000001";1;280;278;0;;
552;"1,72E+12";0;"2,25";"0,25";1;280;278;0;;
553;"1,72E+12";0;"-2,75";"0,25";1;280;278;0;;
554;"1,72E+12";0;"-5,75";"0,25";1;280;278;0;;
555;"1,72E+12";0;"-6,75";"0,400000006";1;280;278;0;;
556;"1,72E+12";0;"-2,75";"0,400000006";1;280;278;0;;
557;"1,72E+12";0;"6,25";"0,600000024";1;280;278;0;;
558;"1,72E+12";0;"12,25";"1,100000024";1;280;278;0;;
559;"1,72E+12";0;"11,25";"1,100000024";1;280;278;0;;
560;"1,72E+12";0;"5,25";"1,649999976";1;280;278;0;;
561;"1,72E+12";0;"1,25";"1,649999976";1;280;278;0;;
562;"1,72E+12";0;"-1,75";"1,549999952";1;280;278;0;;
563;"1,72E+12";0;"-4,75";"1,450000048";1;280;278;0;;
564;"1,72E+12";0;"-6,75";"1,399999976";1;280;278;0;;
565;"1,72E+12";0;"-6,75";"1,399999976";1;280;278;0;;
566;"1,72E+12";0;"-2,75";"1,25";1;280;278;0;;
567;"1,72E+12";0;"2,25";"1,149999976";1;280;278;0;;
568;"1,72E+12";0;"3,25";"1,149999976";1;280;278;0;;
569;"1,72E+12";0;"2,25";"1,25";1;280;278;0;;
570;"1,72E+12";0;"0,25";"1,049999952";1;280;278;0;;
571;"1,72E+12";0;"-4,75";"1,049999952";1;280;278;0;;
572;"1,72E+12";0;"-11,75";"0,349999994";1;280;278;0;;
573;"1,72E+12";0;"-15,75";"-0,300000012";1;280;278;0;;
574;"1,72E+12";0;"-10,75";"-0,300000012";1;280;278;0;;
575;"1,72E+12";0;"-3,75";"-0,5";1;280;278;0;;
576;"1,72E+12";0;"2,25";"-0,300000012";1;280;278;0;;
577;"1,72E+12";0;"5,25";"-0,300000012";1;280;278;0;;
578;"1,72E+12";0;"4,25";0;1;280;278;0;;
579;"1,72E+12";0;"3,25";"-0,100000001";1;280;278;0;;
580;"1,72E+12";0;"-0,75";"-0,100000001";1;280;278;0;;
581;"1,72E+12";0;"-9,75";"-0,850000024";1;280;278;0;;
582;"1,72E+12";0;"-12,75";"-1,75";1;280;278;0;;
583;"1,72E+12";0;"-8,75";"-1,75";1;280;278;0;;
584;"1,72E+12";0;"3,25";"-2,049999952";1;280;278;0;;
585;"1,72E+12";0;"12,25";"-1,600000024";1;280;278;0;;
586;"1,72E+12";0;"15,25";"-0,699999988";1;280;278;0;;
587;"1,72E+12";0;"14,25";"-0,699999988";1;280;278;0;;
588;"1,72E+12";0;"11,25";"-0,300000012";1;280;278;0;;
589;"1,72E+12";0;"6,25";"-0,550000012";1;280;278;0;;
590;"1,72E+12";0;"-0,75";"-0,550000012";1;280;278;0;;
591;"1,72E+12";0;"-6,75";"-0,649999976";1;280;278;0;;
